Round	Date	Number	Sample	Replicate	Background	Population	Population2	Condition	Condition2	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
2	2/23/23	156	WTAra+	6	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	38.641	821.031	3.507108825	16.16608452	12.65897569
2	3/2/23	193	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	34.794	115.074	3.327953452	6.052205587	2.724252135
2	3/2/23	194	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	38.019	366.941	3.478767535	10.80744882	7.328681282
2	3/2/23	195	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	37.101	46.981	3.436512053	3.867107061	0.430595008
2	3/2/23	196	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	37.101	247.81	3.436512053	8.881462393	5.444950341
2	3/2/23	197	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	35.663	464.101	3.369255922	12.15433828	8.785082357
2	3/2/23	198	WTAra+	7	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	36.744	691.539	3.41993837	14.83656645	11.41662808
2	3/9/23	235	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	38.435	155.01	3.497747915	7.02433031	3.526582395
2	3/9/23	236	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	39.745	511.599	3.556856256	12.76115286	9.204296601
2	3/9/23	237	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.044	95.253	3.479911107	5.506357426	2.02644632
2	3/9/23	238	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	40.844	225.223	3.605696741	8.467036596	4.861339855
2	3/9/23	239	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	38.074	556.58	3.481282897	13.31033131	9.829048409
2	3/9/23	240	WTAra+	8	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	38.127	776.281	3.483705072	15.71934862	12.23564355
2	3/24/23	277	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	30.451	205.983	3.113334923	8.097309825	4.983974902
2	3/24/23	278	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	34.703	537.313	3.323598649	13.07792196	9.754323311
2	3/24/23	279	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.543	91.051	3.502658696	5.383533592	1.880874896
2	3/24/23	280	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	36.604	278.624	3.413416921	9.417471807	6.004054887
2	3/24/23	281	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	34.084	562.024	3.293823638	13.37526817	10.08144453
2	3/24/23	282	WTAra+	9	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	31.951	689.725	3.189093786	14.81709452	11.62800073
2	3/28/23	319	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.588	263.298	3.549824189	9.154799716	5.604975527
2	3/28/23	320	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	42.78	665.149	3.690162182	14.55072184	10.86055966
2	3/28/23	321	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.005	120.405	3.478126971	6.190807904	2.712680933
2	3/28/23	322	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	37.418	312.008	3.451162025	9.965702818	6.514540794
2	3/28/23	323	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	39.926	663.885	3.564946075	14.53688971	10.97194363
2	3/28/23	324	WTAra+	10	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	40.878	951.712	3.607197184	17.40515279	13.7979556
2	3/30/23	361	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.518	178.186	3.546684379	7.531159695	3.984475316
2	3/30/23	362	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	38.079	640.381	3.481511476	14.27724086	10.79572939
2	3/30/23	363	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	38.405	70.604	3.496382585	4.740669951	1.244287367
2	3/30/23	364	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	37.8	297.157	3.468733731	9.725636867	6.256903135
2	3/30/23	365	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	37.486	729.649	3.454296512	15.2398981	11.78560159
2	3/30/23	366	WTAra+	11	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	41.086	996.926	3.616362811	17.81379822	14.19743541
2	4/4/23	403	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	36.158	179.199	3.392557865	7.552536942	4.159979078
2	4/4/23	404	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	35	554.689	3.337790589	13.28770091	9.949910321
2	4/4/23	405	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	33.564	54.783	3.26860108	4.175879643	0.907278563
2	4/4/23	406	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	34.674	305.276	3.322209655	9.857604703	6.535395047
2	4/4/23	407	WTAra+	12	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	36.436	603.03	3.405574696	13.85461706	10.44904237
