Round	Date	Number	Sample	Replicate	Background	Population	Clone	Evo_Round_1	Evo_Round_2	Timepoint	Drug	DiscArea	ZoneArea	Disc Radius	Zone Radius	Difference
1	4/13/21	242	408-3	3	P408	408-FR	408-FR-B	10-day	NA	300	NAL	42.629	749.925	3.683643867	15.45019551	11.76655165
1	4/13/21	243	408-3	3	P408	408-FR	408-FR-B	10-day	NA	300	PEN	40.218	97.638	3.577958496	5.574866874	1.996908378
1	4/13/21	244	408-3	3	P408	408-FR	408-FR-B	10-day	NA	300	STR	39.206	221.619	3.532655856	8.399018911	4.866363055
1	4/13/21	245	408-3	3	P408	408-FR	408-FR-B	10-day	NA	300	TET	42.328	945.432	3.67061587	17.34763247	13.6770166
1	4/13/21	246	408-3	3	P408	408-FR	408-FR-B	10-day	NA	300	TMS	43.238	1111.425	3.709862916	18.80897566	15.09911274
1	4/13/21	247	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	ERY	39.613	158.955	3.550944877	7.113153166	3.562208288
1	4/13/21	248	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	NAL	38.446	505.523	3.498248402	12.68514756	9.186899157
1	4/13/21	249	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	PEN	42.466	42.466	3.676594569	3.676594569	0
1	4/13/21	250	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	STR	42.466	338.373	3.676594569	10.378221	6.70162643
1	4/13/21	251	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TET	43.899	562.912	3.738112584	13.38583037	9.647717784
1	4/13/21	252	WT	4	Ancestor	Ancestor	Ancestor	Ancestor	Ancestor	0	TMS	46.722	855.656	3.856432873	16.50344703	12.64701416
